page,company,name,specs
,,,
16,A2,"A2 (Aqua Blue, 2GB RAM, 64GB Storage)","Aqua Blue, 2GB RAM, 64GB Storage)"
,,,
16,12,12 5G Moonstone Silver 8GB RAM 256GB ROM,12 5G Moonstone Silver 8GB RAM 256GB ROM
,,,
16,narzo,"narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging ","Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display"
,,,
16,TECNO,"TECNO POP 8 (Mystery White,(8GB*+64GB)","Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor"
,,,
16,Note,"Note 13 5G (Arctic White, 8GB RAM, 256GB Storage) ","Arctic White, 8GB RAM, 256GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever"
,,,
16,2660,"2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio ","2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio | Black"
,,,
16,narzo,"narzo N53 (Feather Gold, 8GB+128GB) 33W Segment Fastest Charging ","Feather Gold, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display"
,,,
16,Redmi,"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) ","Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera"
,,,
16,Galaxy,"Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage ","Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera"
,,,
16,narzo,"narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory ","narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge"
,,,
16,Nord,"Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)","Bahamas Blue, 8GB RAM, 128GB Storage)"
,,,
16,C32,C32 with 50MP Dual Rear AI Camera ,6GB RAM + 6GB Virtual RAM) | Android 13 | Breezy Mint
,,,
16,Redmi,"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) ","Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera"
,,,
16,C51,"C51 (Power Black, 6GB RAM, 128GB Storage)","Power Black, 6GB RAM, 128GB Storage)"
,,,
16,A2,"A2 (Classic Black, 2GB RAM, 64GB Storage)","Classic Black, 2GB RAM, 64GB Storage)"
,,,
16,narzo,"narzo N55 (Prime Black, 6GB+128GB) 33W Segment Fastest Charging ","Prime Black, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera"
,,,
16,A2,"A2 (Sea Green, 2GB RAM, 64GB Storage)","Sea Green, 2GB RAM, 64GB Storage)"
,,,
16,itel,itel A70 Smartphone ,"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Azure Blue"
,,,
17,A2,"A2 (Aqua Blue, 2GB RAM, 64GB Storage)","Aqua Blue, 2GB RAM, 64GB Storage)"
,,,
17,12,12 5G Moonstone Silver 8GB RAM 256GB ROM,12 5G Moonstone Silver 8GB RAM 256GB ROM
,,,
17,narzo,"narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging ","Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display"
,,,
17,TECNO,"TECNO POP 8 (Mystery White,(8GB*+64GB)","Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor"
,,,
17,Note,"Note 13 5G (Arctic White, 8GB RAM, 256GB Storage) ","Arctic White, 8GB RAM, 256GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever"
,,,
17,2660,"2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio ","2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio | Black"
,,,
17,narzo,"narzo N53 (Feather Gold, 8GB+128GB) 33W Segment Fastest Charging ","Feather Gold, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display"
,,,
17,Redmi,"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) ","Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera"
,,,
17,Galaxy,"Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage ","Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera"
,,,
17,narzo,"narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory ","narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge"
,,,
17,Nord,"Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)","Bahamas Blue, 8GB RAM, 128GB Storage)"
,,,
17,C32,C32 with 50MP Dual Rear AI Camera ,6GB RAM + 6GB Virtual RAM) | Android 13 | Breezy Mint
,,,
17,Redmi,"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) ","Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera"
,,,
17,C51,"C51 (Power Black, 6GB RAM, 128GB Storage)","Power Black, 6GB RAM, 128GB Storage)"
,,,
17,A2,"A2 (Classic Black, 2GB RAM, 64GB Storage)","Classic Black, 2GB RAM, 64GB Storage)"
,,,
17,narzo,"narzo N55 (Prime Black, 6GB+128GB) 33W Segment Fastest Charging ","Prime Black, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera"
,,,
17,A2,"A2 (Sea Green, 2GB RAM, 64GB Storage)","Sea Green, 2GB RAM, 64GB Storage)"
,,,
17,itel,itel A70 Smartphone ,"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Azure Blue"
,,,
25,A2,"A2 (Aqua Blue, 2GB RAM, 64GB Storage)","Aqua Blue, 2GB RAM, 64GB Storage)"
,,,
25,12,12 5G Moonstone Silver 8GB RAM 256GB ROM,12 5G Moonstone Silver 8GB RAM 256GB ROM
,,,
25,narzo,"narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging ","Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display"
,,,
25,TECNO,"TECNO POP 8 (Mystery White,(8GB*+64GB)","Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor"
,,,
25,Note,"Note 13 5G (Arctic White, 8GB RAM, 256GB Storage) ","Arctic White, 8GB RAM, 256GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever"
,,,
25,2660,"2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio ","2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio | Black"
,,,
25,narzo,"narzo N53 (Feather Gold, 8GB+128GB) 33W Segment Fastest Charging ","Feather Gold, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display"
,,,
25,Redmi,"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) ","Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera"
,,,
25,Galaxy,"Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage ","Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera"
,,,
25,narzo,"narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory ","narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge"
,,,
25,Nord,"Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)","Bahamas Blue, 8GB RAM, 128GB Storage)"
,,,
25,C32,C32 with 50MP Dual Rear AI Camera ,6GB RAM + 6GB Virtual RAM) | Android 13 | Breezy Mint
,,,
25,Redmi,"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) ","Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera"
,,,
25,C51,"C51 (Power Black, 6GB RAM, 128GB Storage)","Power Black, 6GB RAM, 128GB Storage)"
,,,
25,A2,"A2 (Classic Black, 2GB RAM, 64GB Storage)","Classic Black, 2GB RAM, 64GB Storage)"
,,,
25,narzo,"narzo N55 (Prime Black, 6GB+128GB) 33W Segment Fastest Charging ","Prime Black, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera"
,,,
25,A2,"A2 (Sea Green, 2GB RAM, 64GB Storage)","Sea Green, 2GB RAM, 64GB Storage)"
,,,
25,itel,itel A70 Smartphone ,"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Azure Blue"
,,,
28,A2,"A2 (Aqua Blue, 2GB RAM, 64GB Storage)","Aqua Blue, 2GB RAM, 64GB Storage)"
,,,
28,12,12 5G Moonstone Silver 8GB RAM 256GB ROM,12 5G Moonstone Silver 8GB RAM 256GB ROM
,,,
28,narzo,"narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging ","Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display"
,,,
28,TECNO,"TECNO POP 8 (Mystery White,(8GB*+64GB)","Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor"
,,,
28,Note,"Note 13 5G (Arctic White, 8GB RAM, 256GB Storage) ","Arctic White, 8GB RAM, 256GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever"
,,,
28,2660,"2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio ","2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio | Black"
,,,
28,narzo,"narzo N53 (Feather Gold, 8GB+128GB) 33W Segment Fastest Charging ","Feather Gold, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display"
,,,
28,Redmi,"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) ","Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera"
,,,
28,Galaxy,"Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage ","Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera"
,,,
28,narzo,"narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory ","narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge"
,,,
28,Nord,"Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)","Bahamas Blue, 8GB RAM, 128GB Storage)"
,,,
28,C32,C32 with 50MP Dual Rear AI Camera ,6GB RAM + 6GB Virtual RAM) | Android 13 | Breezy Mint
,,,
28,Redmi,"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) ","Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera"
,,,
28,C51,"C51 (Power Black, 6GB RAM, 128GB Storage)","Power Black, 6GB RAM, 128GB Storage)"
,,,
28,A2,"A2 (Classic Black, 2GB RAM, 64GB Storage)","Classic Black, 2GB RAM, 64GB Storage)"
,,,
28,narzo,"narzo N55 (Prime Black, 6GB+128GB) 33W Segment Fastest Charging ","Prime Black, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera"
,,,
28,A2,"A2 (Sea Green, 2GB RAM, 64GB Storage)","Sea Green, 2GB RAM, 64GB Storage)"
,,,
28,itel,itel A70 Smartphone ,"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Azure Blue"
